NRGSTREAM Data Extract for stream : AB - Market Comments,
10/04/2018 19:40,1201L (520s Bennett - Cranbrook) in service.
10/02/2018 23:33,AIES resynchronized with WECC.
10/02/2018 23:03,AIES islanded from WECC.
10/01/2018 12:15,1201L out of service.
10/01/2018 2:01,Sundance 6 online.
09/29/2018 02:56,Sundance 4 online.
09/28/2018 23:51,Sundance 4 offline.
09/28/2018 23:01,Genesee 3 offline.
09/27/2018 11:31,Path 1 in service.
09/27/2018 09:59,The AESO is doing planned maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration of the outage. System Controllers will dispatch via phone. ETS access may be lost for 2-3 minutes. ETS submissions and restatements may be delayed.
09/27/2018 03:28,Sundance # 6 offline.
09/26/2018 23:01,Path 1 out of service
09/26/2018 22:18,Path 1 Returned to Service
09/26/2018 20:03,Path 1 Out of Service
09/26/2018 18:30,Path 1 Returned to Service
09/26/2018 18:18,Path 1 Out of Service
09/26/2018 11:00,The AESO is doing planned maintenance today at 11:10am for approximately 10 minutes. Users may lose ETS access but can log back in immediately. No impact to ADaMS.
09/25/2018 20:31,Sheerness 1 online.
09/25/2018 09:12,The AESO is doing planned maintenance today at 10am for approx 1 hour. Users may lose ETS access  but can log back in immediately. ETS Submissions and restatements may be delayed from 10:05am to 10:25am. No impact to ADaMS.
09/24/2018 20:40,Path 1 in service.
09/24/2018 19:51,Path 1 out of service.   AESO islanded from WECC.
09/23/2018 22:03,Sheerness #1 off line.
09/20/2018 19:33,Keephills 1 online
09/20/2018 10:34,Path 1 in service.
09/20/2018 09:30,Keephills 1 offline.
09/20/2018 07:39,Keephills #1 online.
09/19/2018 21:14,Battle River 3 offline
09/19/2018 01:25,Path 1 back in service.
09/18/2018 20:16,Path 1 out of service.
09/18/2018 20:08,Path 1 out of service.
09/18/2018 11:47,System disturbance outside of Alberta caused frequency to rise to 60.114 Hz. Frequency returned to normal at 11:57.
09/17/2018 23:56,Sundance #4 online
09/17/2018 14:25,Keephills 1 offline
09/17/2018 09:33,1201L out for scheduled maintenance.
09/17/2018 09:20,Path 83 out for scheduled maintenance.
09/17/2018 06:00,Battle River 3 online
09/15/2018 13:54,Mackay (MKRC) online.
09/15/2018 11:20,Mackay (MKRC) offline.
09/14/2018 21:22,Sundance 4 off line
09/14/2018 15:04,Sundance 6 on line
09/14/2018 10:45,Genesee 2 on line
09/14/2018 03:18,Genesee 2 off line.
09/12/2018 17:06,Path 2 in service.
09/12/2018 16:41,Path 2 out of service.
09/03/2018 16:27,Mackay River on line.
09/03/2018 9:30,Mackay River off line.
09/01/2018 21:27,Genesee 1 on line.
08/31/2018 22:29,Genessee 1 off line.
08/28/2018 09:44,The AESO is doing planned system maintenance today at 10:10 pm MDT. Submissions and restatements will be delayed for approximately 10 minutes.
08/26/2018 03:27,HR Milner Off Line
08/24/2018 13:51,Battle River 5 online.
08/24/2018 11:49,Battle River 5 offline
08/24/2018 10:51,Battle River 5 online.
08/24/2018 00:31,Sundance 6 off line.
08/23/2018 21:36,Battle River 5 off line.
08/23/2018 21:32,Battle River 5 off line.
08/23/2018 15:15,Path 2 returned to service.
08/23/2018 02:00,Battle River 3 off line.
08/23/2018 00:41,HR Milner on line.
08/22/2018 20:31,HR Milner off line.
08/22/2018 09:33,The AESO is doing planned system maintenance today at 10:10 pm MDT. Submissions and restatements will be delayed for approximately 10 minutes.
08/21/2018 10:00,Battle River 3 on line.
08/20/2018 03:02,Sundance 4 on line.
08/17/2018 23:13,Sundance 4 offline
08/17/2018 22:57,Battle River 3 offline
08/17/2018 13:37,The AESO is doing system maintenance today at 14:10 MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
08/17/2018 09:58,AESO system maintenance scheduled for 10:10 MDT has been delayed until further notice
08/17/2018 09:49,The AESO is doing system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
08/16/2018 09:51,The AESO is doing system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
08/15/2018 09:14,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 15 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
08/14/2018 03:01,Battleriver 3 on line.
08/13/2018 09:05,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 15 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
08/13/2018 00:01,Keephills #1 on line
08/12/2018 19:03,Calgary Energy Centre on line
08/11/2018 23:27,Battleriver 3 off line.
08/11/2018 23:11,Calgary Energy Centre off line
08/11/2018 18:48,Path 83 in service.
08/11/2018 18:39,1201L back in Service.
08/11/2018 12:29,Path 1 and Path 83 Out of service.
08/11/2018 0:00,Sundance 6 on line
08/10/2018 23:25,Sundance 6 off line
08/10/2018 21:55,Keephills #1 off line
08/09/2018 17:06,Sheerness Unit 2 online.
08/09/2018 16:39,AIES is declaring an EEA 0 as of 16:39
08/09/2018 15:40,AIES is declaring an EEA2 as of 15:39
08/09/2018 15:07,AIES is declaring an EEA1 as of 15:07
08/09/2018 14:29,Path 83 back in service.
08/08/2018 17:37,Sheerness Unit 2 off line
08/07/2018 3:59,Keephills #2 online.
08/06/2018 23:38,Limited market operations has ended as of 23:38. AESO is now dispatching to the HE 24 merit order.
08/06/2018 22:50,AESO is declaring limited market operation.  Dispatches will be sent from HE 23 merit order. Market tools failed. Duration unknown at this time.
08/06/2018 6:01,Battle River 4 online.
08/03/2018 22:01,Keephills #2 Offline.
08/03/2018 5:56,Sheerness 2 on line.
08/03/2018 2:39,Sheerness 2 off line
08/03/2018 2:37,Sheerness 2 off line.
08/03/2018 0:19,Battle River 4 off line
08/01/2018 14:32,The AESO is doing planned system maintenance today at 15:00 MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
07/30/2018 11:10,Path 83 out of service.
07/29/2018 05:00,Battle River #3 on line.
07/27/2018 23:34,Battle River #3 off line.
07/27/2018 10:59,Path 83 back in service.
07/27/2018 10:49,1201L In Service.
07/27/2018 10:33,1201L out of service. Cause unknown  ETR unknown  BCH investigating.
07/27/2018 09:03,Battle River #3 on line.
07/26/2018 10:47,The AESO is doing planned system maintenance today at 11:10am MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
07/24/2018 21:29,HR Milner offline.
07/22/2018 12:36,Path 83 in service.
07/22/2018 12:24,1201L returned to service.
07/21/2018 13:36,HR Milner online.
07/21/2018 09:30,1201L and Path 83 out of service for scheduled maintenance.
07/21/2018 05:54,HR Milner offline.
07/19/2018 13:33,The AESO is doing planned system maintenance today at 14:10pm MDT for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
07/19/2018 09:32,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
07/18/2018 18:30,Frequency excursion to 59.744 HZ due to event external to the AIES
07/18/2018 01:30,HR Milner online
07/18/2018 00:00,Battle River 3 offline
07/16/2018 02:00,Battle River 3 on line.
07/16/2018 00:04,Sundance 6 on line.
07/15/2018 19:01,Sheerness 2 on line.
07/15/2018 16:34,Sheerness 2 off line.
07/14/2018 14:11,Sheerness 1 off line.
07/13/2018 22:19,Sundance 6 off line.
07/13/2018 01:00,Battle River 3 off line.
07/12/2018 9:25,H.R. Milner offline.
07/11/2018 10:38,The AESO is doing system maintenance today at 11:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
07/11/2018 2:00,Battle River 3 on line
07/10/2018 0:32,Battle River 3 offline
07/09/2018 4:48,Battle River 3 on line
07/09/2018 3:37,Battle River 3 offline
07/09/2018 2:23,Battle River 3 online
07/06/2018 19:22,Battle River 3 off line
07/06/2018 10:00,Genesee Unit 3 on line
07/06/2018 7:36,Genesee Unit 3 off line
07/05/2018 18:54,Path 83 Returned to service
07/05/2018 17:34,Sheerness #2 on line
07/04/2018 18:18,Path 83 returned to service.
07/04/2018 14:41,Path 83 out of service.
07/04/2018 9:07,Genesee 3 On line
07/04/2018 6:30,Genesee 3 Offline
07/03/2018 13:41,Sheerness #2 off line.
07/03/2018 10:20,Sundance #4 on line.
07/03/2018 1:40,Sundance 4 off line.
07/01/2018 18:22,Path 83 in service.
07/01/2018 15:19,Path 83 out of service.
06/29/2018 07:34,Sheerness 2 online
06/28/2018 19:24,Calgary Energy Centre offline
06/28/2018 03:26,Battle River 3 off line
06/28/2018 03:18,Battle River 3 off line
06/27/2018 14:39,Path 83 Back in service.
06/27/2018 14:21,1201L back in Service.
06/27/2018 10:00,Battle River 4 on line.
06/27/2018 08:32,1201L out of service.
06/25/2018 22:24,Sheerness 1 on line.
06/25/2018 20:20,Sheerness 1 off line.
06/25/2018 19:41,Battle River 4 off line.
06/25/2018 16:28,Path 83 out of service
06/25/2018 13:09,Sheerness #2 offline
06/25/2018 12:31,The AESO is doing system maintenance today at 1:10pm MDT for approx 30 minutes. Users may lose ETS access  and will be able to log back in immediately. There is no impact to ADaMS.
06/25/2018 07:03,Calgary Energy Centre online
06/25/2018 02:16,Battle River 3 on line
06/24/2018 00:38,Path 83 in service.
06/23/2018 23:23,Path 83 out of service.
06/23/2018 00:23,Battle River 3 off line.
06/23/2018 00:07,HR Milner off line
06/22/2018 16:41,Path 83 back in service.
06/22/2018 16:29,Path 83 back in service.
06/22/2018 16:07,Path 1 back in service.
06/22/2018 15:38,Path 1 and Path 83 out service.
06/22/2018 13:13,Path 83 back in service.
06/21/2018 08:35,Sundance 6 on line.
06/20/2018 14:03,Path 83 forced out of service
06/20/2018 07:46,Keephills 2 on line.
06/18/2018 01:00,Battle River 3 online.
06/17/2018 22:53,Sundance 6 offline.
06/16/2018 14:55,Path 83 back in service.
06/16/2018 14:26,Path 83 out of service.
06/16/2018 00:01,Sundance 4 on line.
06/15/2018 21:53,Keephills 2 off line.
06/15/2018 13:12,The AESO is doing planned maintenance shortly approx 30 min. ADaMS/ETS will remain fully functional. ETS users may experience connectivity issues. If connection is lost  restart your browser and you will be able to log back in immediately.
06/14/2018 22:50,Sheerness #2 online.
06/14/2018 21:29,Sheerness #2 offline.
06/14/2018 21:27,Sheerness #2 online.
06/14/2018 16:33,Keephills 1 on line.
06/14/2018 09:42,The AESO is doing system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
06/14/2018 07:12,Keephills 1 off line.
06/14/2018 05:00,Sheerness 2 off line.
06/13/2018 19:35,Keephills 1 on line.
06/13/2018 13:57,H R Milner online.
06/13/2018 03:35,Keephills 1 off line.
06/12/2018 10:15,Keephills #1 on line.
06/12/2018 8:24,Keephills #1 off line.
06/12/2018 8:03,Keephills #1 on line.
06/11/2018 9:50,The AESO is doing system maintenance today at 10:10am MDT for approx 20 mins. ADaMS will be unavailable for the outage and controllers will dispatch via phone. Users may be logged out of ETS for 5 mins and updates to AESO Reports may be delayed.
06/08/2018 22:04,Keephills #1 offline.
06/04/2018 17:57,MacKay River offline.
06/04/2018 10:07,The AESO is doing planned system maintenance today at 10:10 for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
06/04/2018 3:05,Supply Surplus is no longer in effect. Restatements to reduce zero block volumes within the T-2 timeframe are no longer permitted.
06/04/2018 3:04,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted
06/04/2018 1:17,Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within the T-2 timeframe
06/04/2018 1:16,Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe
06/03/2018 22:38,Genesee 2 on line
06/03/2018 19:00,Genesee 2 off line
05/31/2018 12:19,The AESO is doing planned system maintenance today at 13:10pm MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of this outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
05/30/2018 13:32,The AESO is doing planned system maintenance today at 14:10 for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
05/30/2018 12:17,The AESO is doing planned system maintenance today at 13:10pm MDT for approximately 20 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
05/30/2018 09:16,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 30 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.
05/30/2018 03:03,Sundance 4 off line
05/29/2018 15:52,Path83 back in service
05/29/2018 15:07,Path83 Tripped out of service
05/29/2018 07:59,Sheerness 2 online
05/29/2018 01:41,Battle River 3 off line
05/28/2018 00:01,Battle River 3 online
05/27/2018 03:41,Supply Surplus is no longer in effect. Restatements to increase export interchange transactions within the T-2 timeframe are no longer permitted
05/27/2018 03:06,Supply Surplus in effect. Restatements to increase export interchange transactions are now permitted within the T-2 timeframe
05/26/2018 00:32,Calgary Energy Centre offline
05/25/2018 21:02,Battle River 3 offline
05/24/2018 23:03,Keephills #2 on line.
05/24/2018 22:02,Sheerness 2 off line
05/22/2018 21:45,Keephills 2 Off line.
05/22/2018 11:01,Battle River 3 on line
05/22/2018 05:56,Sundance 6 on line
05/18/2018 12:02,Sundance #4 online.
05/17/2018 21:38,Keephills 1 Online.
05/15/2018 17:33,A supply shortfall is no longer forecast for 18:00 on 2018-05-15.
05/15/2018 09:45,A supply shortfall is forecast starting at 12:00 on 2018-05-15. Any generating unit that is planning to start must notify the SC as soon as practical. Refer to the supply adequacy report on the AESO website.
05/15/2018 03:00,Battle River 3 on line.
05/14/2018 18:08,AESO has declared an EEA0.
05/14/2018 17:46,Path 83 back in service.
05/14/2018 16:41,Effective 16:41mpt AESO has declared an EEA1.
05/14/2018 16:03,Sundance 6 off line
05/14/2018 03:09,Sheerness 2 on line.
05/13/2018 17:49,Keephills 1 off line.
05/13/2018 11:38,Sheerness 2 off line.
05/12/2018 0:59,Keephills #1 on line.
05/11/2018 16:26,Frequency to 59.877 Hz due to disturbance outside of the AIES
05/11/2018 1:19,Sundance 6 on line
05/09/2018 22:28,Keephills 1 off line
05/09/2018 11:35,Path 83 out of service.
05/08/2018 22:32,Sundance 6 off line.
05/06/2018 15:38,Genesee 3 online.
05/04/2018 22:08,Genesee 3 off line.
05/01/2018 5:25,Supply Surplus is no longer in effect. Restatements to reduce zero dollar block volumes within the T-2 timeframe are no longer permitted.
05/01/2018 2:14,Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within T-2 timeframe.
04/30/2018 12:23,The AESO is doing system maintenance today at 13:10. ETS/ADaMS will be fully functional; submissions and restatements will be delayed for 20 min. Following that  only DDS submissions and restatements will continue to be delayed until approx. 14:10.
04/30/2018 03:00,Sundance #6 on line.
04/29/2018 20:24,Keephills #2 on line.
04/29/2018 08:44,Supply Surplus is no longer in effect. Restatements to reduce zero dollar block volumes within the T-2 timeframe are no longer permitted.
04/29/2018 01:51,Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within T-2 timeframe.
04/29/2018 01:38,Supply Surplus in effect. Restatements to reduce zero dollar block volume are now permitted within T-2 timeframe.
04/28/2018 14:52,McNeil Converter / Path 2 Back in Service
04/28/2018 06:14,McNeil Converter / Path 2 out of service
04/27/2018 22:01,Keephills #2 offline.
04/27/2018 14:34,Sundance 6 off line.
04/25/2018 09:33,The AESO is doing system maintenance today at 10:05am. ETS/ADaMS will be fully functional; submissions and restatements will be delayed for 25 min. Following that  only DDS submissions and restatements will continue to be delayed until approx. 11:10.
04/24/2018 06:01,Shepard on line
04/23/2018 03:00,Sundance Unit 6 on line.
04/21/2018 23:33,Sheerness 1 on line.
04/21/2018 05:02,Sheerness 1 off line.
04/21/2018 00:31,Sundance 6 off line.
04/20/2018 18:11,Frequency excursion to 59.847Hz due to relay operation outside of Alberta.
04/20/2018 06:04,Sundance 4 off line.
04/19/2018 15:13,Battle River Unit 3 off line.
04/18/2018 13:01,Battle River 3 online.
04/16/2018 08:14,Sundance 4 online.
04/14/2018 00:56,Sundance 4 off line
04/11/2018 6:09,Keephills 3 on line
04/10/2018 22:43,Keephills 3 off line
04/10/2018 9:26,Sheerness #1 online.
04/09/2018 20:14,Battle River 3 off line.
04/09/2018 9:07,REMINDER: The current ADaMS certificate will expire Tomorrow  April 10  2018. If you have not yet installed the new certificate please email info@aeso.ca immediately to ensure continued access to ADaMS
04/09/2018 0:23,Sheerness 1 off line.
04/08/2018 1:29,Genesee 2 on line.
04/06/2018 9:33,The current ADaMS certificate will expire on April 10  2018. If you havent installed the new certificate  please have your Corporate Contact request the new certificate via info@aeso.ca to ensure continued access to ADaMS.
04/06/2018 9:18,The AESO is doing system maintenance today at 09:10am MDT for approximately 30 minutes. Restatements and submissions will be delayed for the 15 minutes. ETS will then be unavailable for 5 minutes.
04/04/2018 14:45,The AESO is doing planned system maintenance today at 15:10 MDT for approximately 20 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
04/04/2018 9:51,The AESO is doing system maintenance today at 10:10 am MST. ADaMS will be unavailable for approximately 30 minutes. System Controllers will dispatch via phone.
04/01/2018 0:48,Shepard off line
03/31/2018 19:20,Sundance 5 off line
03/31/2018 15:37,Sundance 3 off line
03/30/2018 15:40,Battle River 3 on line.
03/27/2018 08:36,Keephills Unit 3 Online
03/26/2018 11:12,The AESO is doing planned system maintenance today at 11:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
03/25/2018 22:02,Battle River #4 online.
03/22/2018 21:59,Mackay River on line
03/22/2018 10:49,Mackay River off line
03/21/2018 21:01,Keephills 3 Off line
03/20/2018 21:29,Sundance unit #4 on line
03/20/2018 15:53,Sundance #4 off line.
03/18/2018 23:35,Sundance 6 on line.
03/18/2018 23:32,Sundance 6 on line.
03/18/2018 21:45,Sundance 6 off line.
03/17/2018 02:29,Genessee 2 Off line
03/16/2018 17:19,Keephills 2 On Line
03/16/2018 14:17,Keephills 2 Off Line
03/16/2018 13:26,Keephills 2 On Line
03/15/2018 23:36,Sundance 6 online.
03/15/2018 20:56,Sundance 6 offline
03/15/2018 13:50,The AESO is doing planned system maintenance today at 14:10 MDT. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone. ETS will be unavailable for approx 5-10 min. Submissions and restatements will be delayed for 20 min.
03/14/2018 21:30,Keephills # 2 offline.
03/12/2018 23:41,Battle River 4 offline.
03/11/2018 10:59,Sheerness 1 online
03/10/2018 10:20,On March 11  2018  the AESO will switch from MST to MDT for all daily operations. ETS will be numbered as HE 01  03 through to 24 (removing HE 02). Participants are responsible for ensuring submissions for March 11 reflect the removal of HE 02.
03/09/2018 20:01,Sheerness 1 Off Line
03/09/2018 13:11,The AESO is doing system maintenance today at 13:15 pm. ADaMS will be unavailable for approx 5-10 min  Controllers will dispatch via phone.
03/09/2018 12:38,Path 2 returned to service
03/09/2018 1:50,Keephills #1 on line.
03/08/2018 18:32,Keephills #1 offline.
03/07/2018 9:05,Path 2 out of service.
03/05/2018 12:33,The AESO is doing system maintenance today at 13:10 pm. ADaMS will be unavailable for approx 20 min  Controllers will dispatch via phone.  ETS will be unavailable for approximately 5 minutes.
03/04/2018 2:34,Sundance 3 on line
03/03/2018 14:16,Battle River 4 Online
03/03/2018 10:25,Battle River 4 Offline
03/03/2018 9:31,Battle River 4 Online
03/02/2018 23:18,Sundance 3 offline
03/02/2018 19:01,Battle River 4 Offline
03/02/2018 18:00,Battle River 4 Online
03/02/2018 11:38,The AESO is doing system maintenance today at 12:10 pm. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone.  Submissions and restatements made in ETS will be delayed for 20 min.
03/02/2018 10:00,Sundance 5 online.
03/01/2018 9:55,The AESO is doing planned system maintenance today at 10:10 am. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone.  Submissions and restatements made in ETS will be delayed for 20 min.
02/27/2018 16:07,The AESO is doing planned system maintenance today at 16:10 MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
02/27/2018 14:29,The AESO is doing planned system maintenance today at 15:10 MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
02/27/2018 13:23,Sundance 5 offline.
02/27/2018 09:19,The AESO is doing planned system maintenance today at 10:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
02/21/2018 14:05,Sundance unit 5 on line.
02/21/2018 10:22,Sundance unit 5 offline
02/19/2018 00:26,Sundance #6 on line.
02/16/2018 21:32,Sundance #6 off line.
02/14/2018 17:23,Genesee 3 on line.
02/14/2018 15:10,Genesee 3 off line.
02/14/2018 12:47,Genesee 3 on line.
02/14/2018 08:45,Genesee 3 off line.
02/14/2018 08:01,Keephills 3 on line.
02/13/2018 03:18,Keephills #3 offline.
02/13/2018 02:18,Sheerness #1 online.
02/12/2018 21:54,Sheerness #1 offline.
02/12/2018 14:04,Path 2 back in service.
02/12/2018 12:10,Genesse 3 On Line
02/12/2018 11:23,Path 83 in service.
02/12/2018 11:07,Path 2 Out of service.
02/12/2018 11:01,Path 2 Out of service.
02/12/2018 4:24,Path 83 Out of Service.
02/11/2018 16:10,Mackay River online.
02/11/2018 1:55,Mackay River offline.
02/10/2018 12:44,Keephills 2 on line.
02/10/2018 1:58,Genesee #3 Offline.
02/09/2018 10:40,The AESO is doing planned system maintenance today at 11:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone
02/09/2018 9:49,The AESO is doing planned system maintenance today at 10:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
02/08/2018 7:08,Keephills 2 off line.
02/06/2018 14:02,The AESO is doing planned system maintenance today at 14:10 for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
02/06/2018 9:41,The AESO is doing planned system maintenance today at 10:10 for approximately 20 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance.
01/30/2018 16:37,Keephills 1 on line.
01/30/2018 01:39,Sundance #3 on line.
01/30/2018 01:36,Keephills #3 on line.
01/29/2018 16:44,Sundance 3 off line.
01/29/2018 14:42,Keephills 3 off line.
01/29/2018 12:01,Sundance 3 on line
01/29/2018 02:08,Calgary Energy Centre On Line
01/28/2018 21:20,Keephills 1 off line
01/27/2018 00:01,Battle River 4 Offline
01/26/2018 09:53,Sundance 3 Off Line
01/25/2018 14:40,The AESO is doing planned system maintenance today at 15:10 MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
01/25/2018 09:12,The AESO is doing planned system maintenance today at 10:10am MST for approximately 30 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
01/24/2018 17:01,Battle River 5 On line
01/24/2018 16:36,McKay River unit on line
01/24/2018 15:47,McKay River off line.
01/24/2018 14:19,Battle River 5 off line
01/24/2018 12:33,Battle River 5 on line
01/23/2018 12:50,The AESO is doing planned system maintenance today from 16:30 to 18:30 MST. AS Restatements will be unavailable for the duration of outage. Please advise the system controller of any inability to provide AS.
01/22/2018 14:09,Sundance 4 online.
01/22/2018 13:04,The AESO is doing planned system maintenance today at 13:10 MST. Submissions and restatements will be delayed for approximately 10 minutes.
01/21/2018 10:48,Keephills Unit 1 online
01/21/2018 09:17,Keephills Unit 1 offline
01/21/2018 08:16,Keephills Unit 1 online
01/19/2018 21:29,Sundance 4 Offline
01/19/2018 20:08,Keephills 1 Offline
01/19/2018 11:17,The AESO is doing planned system maintenance today at 12:10 pm MST. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone. ETS will be unavailable for approx 5-10 mins. Submissions and restatements will be delayed for 20 mins.
01/18/2018 23:24,Sundance 5 On Line
01/18/2018 22:47,Mackay River On Line
01/18/2018 15:40,The AESO is doing planned system maintenance today at 16:05 Mountain Time for approximately 20 minutes. System Controllers will dispatch via phone for the duration of the outage. ETS connectivity may be lost.
01/16/2018 21:33,Calgary Energy Center off line.
01/16/2018 16:26,Path 83 in service.
01/16/2018 15:58,Path 1 including 1201L in service.
01/16/2018 15:03,Path 1 out of service.
01/16/2018 08:03,1201L out of service
01/16/2018 07:40,Path 83 out of service
01/16/2018 06:00,The AESO is working out of it's BUCC for the day. All phone numbers remain the same.
01/15/2018 13:04,Calgary Energy Centre on line
01/13/2018 00:22,Calgary Energy Center offline.
01/12/2018 8:38,Battle River #5 offline.
01/11/2018 14:01,The planned system maintenance scheduled for today  has been moved to Tuesday  January 16  2018. AS Restatements will be unavailable during this outage.
01/10/2018 13:22,The AESO is doing planned system maintenance today at 13:25. Submissions and restatements will be delayed for 20 min. Restatements can be done via phone during this time.
01/09/2018 9:36,Sundance 6 on line
01/08/2018 10:48,The AESO is doing planned system maintenance Thursday  January 11 2018 from 16:30 to 18:30.  AS Restatements can be done via phone during this time.
01/08/2018 8:54,Keephills 2 online
01/08/2018 4:00,Battle River #4 Online
01/06/2018 20:35,Sundance #6 Offline.
01/06/2018 16:32,Keephills 2 off line
01/05/2018 11:42,Path 83 back in service.
01/04/2018 18:26,Path 83 out of service.
01/03/2018 22:46,Battleriver #4 offline.
01/02/2018 5:12,Battle River 4 online.
12/31/2017 19:30,Sundance #2 offline.
12/31/2017 16:08,Sundance #1 off line.
12/28/2017 23:57,Sundance 6 on line.
12/28/2017 20:13,Sundance 6 off line.
12/28/2017 14:23,Sundance 5 off line.
12/26/2017 18:37,Shepard on line.
12/26/2017 14:35,Shepard offline.
12/24/2017 19:35,Keephills #1 Online.
12/24/2017 02:21,Sundance #6 on line.
12/22/2017 17:08,Sundance #5  Online
12/22/2017 00:03,Keephills #1 offline.
12/21/2017 20:56,Sundance #6 offline.
12/21/2017 12:19,Keephills #1 on line.
12/18/2017 20:21,Mackay River On line
12/18/2017 19:20,Mackay River Off line
12/18/2017 15:03,Sundance #5 off line
12/18/2017 02:30,Keephills #1 off line.
12/15/2017 22:19,Battle River 4 off line
12/15/2017 11:46,Keephills 2 on line
12/12/2017 23:39,Sheerness 2 on line.
12/12/2017 22:42,Sheerness 2 off line
12/12/2017 22:09,Sheerness 2 on line.
12/12/2017 19:20,Sheerness 2 off line
12/12/2017 0:48,Sundance #1 on line.
12/12/2017 0:14,Sundance #1 off line.
12/11/2017 23:00,Sundance #1 on line.
12/11/2017 9:37,Sheerness 1 on line.
12/11/2017 7:49,Sheerness 1 offline
12/11/2017 3:03,Sheerness 1 on line.
12/11/2017 1:39,Sheerness 2 on line.
12/11/2017 1:28,Sheerness 1 off line.
12/10/2017 21:28,Sheerness 1 on line.
12/10/2017 19:50,Sheerness 2 off line.
12/10/2017 19:11,Sheerness 1 off line.
12/09/2017 7:42,Sheerness #1 on line.
12/09/2017 4:04,Sundance 1 off line.
12/08/2017 4:00,Sheerness #1 unit off line.
12/07/2017 9:27,The AESO is doing planned system maintenance today at 10:10 am. ADaMS will be unavailable for approx 30 min  Controllers will dispatch via phone. ETS will be unavailable for approx 5-10 min. Submissions and restatements will be delayed for 20 min.
12/06/2017 23:48,Sheerness #2 On line
12/06/2017 20:31,Sheerness Unit 2 off line
